question_language,term,sample_english,term_occurrences,n_questions
swa,kumi,I'm with ten people who are busy right now asking if you're going to come and explain the situation to them.,15,13
lug,dagala,E# LUKENGE INNOCENT DAGALA and RYE NKOZESA have been killed by KASOLI.,15,15
nyn,omuntu,E Omuhingi Persona you are going to the umisiri of the chairs where you meet two women to buy a pair of shoes.,15,14
swa,zaidi,I've asked more than a dozen questions and I've only got one answer.,15,11
nyn,bwireki,"On the 1st day of training, I use a weed mast to heat up the grass to make the harumu kabiki.",15,15
swa,miraa,Do you take drugs or drugs?,15,9
swa,wako,What do you think of my two-month-old and six-month-old?,15,13
nyn,omurutokye,I'm the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one.,15,15
lug,enyanya,Didn't my grandparents ever tell me to go down with him?,15,14
swa,bila,What techniques can I use to cut down a tree without cutting it down as an adult?,15,12
swa,kufura,Q. What causes the disease of goat fever?,15,8
swa,ziko,S.naeza where to find ready nested rabbit houses.,15,12
swa,mbaazi,S NITA PATA wherever you are at work.,15,3
swa,kuzaa,How to use a nursing home for a few months before giving birth,15,13
swa,mbinu,What techniques can I use to cut down a tree without cutting it down as an adult?,15,12
swa,wana,Hello Wefarm?who and my chicken have mouth sores now should I do?,15,14
nyn,ebitakuri,What is the best place to live and what is the best place to live?,15,12
nyn,gwa,E Nnyine is a manufacturer of cabbage nanogwebicori the two zones of zayezire nimubasa to press customers 0751963974,15,15
swa,yote,"I've used D,A,P, but what do I do with all the branches?",15,12
swa,njia,S Niko Chamba that the path of the mouse is everywhere I will close to come so that the mouse may visit again.,15,13
swa,ngapi?,Q#INCUBATOR                                                                                                                                                                                                                                                                                                                                                                                                       ,15,14
swa,hata,"Q,why do I have a long neck so that my eyes are wide open?",15,11
swa,afya,How long should a healthy cow lie down and stand?,15,13
swa,kula,SUNGURA WHAKHANGA HUANZA comes after a short while.,15,12
swa,faida,What are the advantages of recycling?,14,9
nyn,garukamu,E Nanye Mbyine Ebihimba Twente 200 Kgs Shs 2000 Orikubyenda Atere 0774294553 Garukamu Na E2 Starting the Message,14,14
swa,wenye,I don't want to know what the best remedy is to eliminate the parasites that are killing my potatoes.,14,9
swa,njiwa,Where do I get the money from???????,14,12
nyn,ebiro,E.JACKSON NIMBUZA SEASON YOBUTWIGO EBIHIMBA MBISHOHORE EBIRO BINGAHI was born in what?,14,8
nyn,ahabwenki,E  Ahabwenki Omwani Nigwoma Obutagi was born.,14,14
swa,inaeza,Can this deadly foot-and-mouth disease be controlled in any way?,14,11
nyn,ki?,What is the matter with me if thirty months go by and five months a year go by?,14,14
swa,spinach,I would like to know if you can use Panda Spinach Guniani?,14,11
lug,zange,E# Enkoko Zlug Zirewade Inziwe Dagaraki?,14,13
nyn,eta,Where did yekooko believe in it?,14,14
swa,ambao,S In what particular season are almonds available in large quantities?,14,14
swa,huchukua,S How long does it take for the salt to begin to sprout when it is planted?,14,13
swa,kua,How much does Daina take in preparation?,14,13
swa,kununua,A friend of mine helped me buy a fertilizer for my mchicha vegetables.,14,8
swa,wadogo,"My dog and I are still young, but they have a big stomach and will die without getting big.",14,10
swa,viroboto,"Q,What medication will I use to kill the chicken robot?I don't have chicken eggs or chicken eggs until after I have washed the chicken dust.",14,11
swa,siku?,What kind of cow eats 20 litres of milk a day?,14,10
nyn,amate,Is it easy to remember how many times I've had to eat too much?,14,13
swa,hadi,My name is michael. i've grown tomatoes that are big until they start to mature. what kind of tomatoes can i get?,14,12
swa,tano,"S,I can milk the fifth chicken of Kienyeji Na Gradi.",14,11
swa,manyoya,And there are soaps to clean up the mess and the heart of the European Union.,14,12
swa,shilingi,How many shillings does a chicken with a toast cost?,14,12
swa,grade,"Joseph asks, ""Where can I get a red leghorn eight-week-old Jibu S9?"" followed by your answer.",14,10
swa,inapatikana,"Wefarm, a honey bee that has no missiles is available where the answer is followed by your answer.",14,13
swa,wakulima,Q Now are our fellow farmers ?,14,14
swa,fanya,"S, how do you do that, how do you do that?",14,11
swa,humaliza,S Nduma Huma How many months will it take to come back?,14,14
nyn,obutumwa,E Nanye Mbyine Ebihimba Twente 200 Kgs Shs 2000 Orikubyenda Atere 0774294553 Garukamu Na E2 Starting the Message,13,13
nyn,omunda,Who is the prophet ishair to tell us the name of the bird and uncover the head of a man who has been shot in the back and hit his head in the head?,13,7
nyn,kugira,Do you think your friends will be able to get away with using a musical instrument to get a feel for it?,13,13
nyn,enjoki,"I am the builder of the yogi and I am also the owner of Erimu Enjoki Eyindaguza Oragyetaga Anterere, Tel(0789430564)",13,13
nyn,buhweju,It's worth noting that 5 liters of water is available to Godfrey BITSYA BUHWEJU.,13,13
swa,nitaanza,"S, if you want to cook chicken, how do I get started?",13,7
nyn,kiro,"E, Nyine Ebicoori Bikwingana Kiro 1000, Nisagwa Kabaranga Bwizi Kamwenge District is located in the district.",13,13
nyn,sente,Do I walk around with hundreds of dollars and hundreds of dollars and how much money and how much?,13,12
swa,nikiwa,"Mohamed asks what methods are used to sprinkle water on dried plants, tomatoes, etc. Get rid of them?",13,9
swa,but,Q I have a question but let me address it in Kiswahili. Niko and the chick don't like it or it doesn't feel cold. Please help me. [kentaro the greatest.],13,9
nyn,disiturikiti,"E District is located in Rukungiri ,Bugangari Sub'county.",13,13
swa,kumaliza,A farmer asks: What is the best remedy to eliminate mosquitoes in India?,13,12
swa,tamu,Can you survive the sunflower with friends or friends at work?,13,9
swa,kabla,Q The last question b4 where do I go to go to my grandmother before Ioteshwe?,13,9
swa,ndo,"Q:Having an understanding of the world in which fear and fear live, helping others, and helping others.",13,11
swa,kilimo,Q: Why is the Ministry of Agriculture responsible for this outbreak of army spiders?,13,11
swa,tiba,S there is an epidemic of chicken pox goat cattle and food with black and black spots.,13,6
swa,matunda,Fruit is a passion fruit that you use to make you feel better.,13,13
nyn,manure,E to finish breathing Liqud Organic Manure Emirudi3 Nomara Obwire Bukwiganaki Okashuba Okafuhira,13,13
swa,nawesa,"Q,What kind of treatment have we tried using chicken Upantewa Homa?",13,12
swa,kwanini,That's why my colleagues don't put pojo and ginger on the potatoes of potato trees like parachichi mangoes.,13,5
nyn,emitumba,E Mumpabure Omubazi Gwakajunde Ensisire Orutokye Emitumba Nehisa Endeere Eyoma is also a member of the Board of Directors.,13,12
nyn,zaba,E Enkoko became obsessed with a bus driver and had eight panades in a month.,13,13
nyn,niguha,What about the watermelon that is known as the watermelon?,13,12
swa,nifanyeje,"I've planted Pojo and it's not raining in the Delta, what should I do?",13,10
nyn,amapapa,E muhogo yangye and dragged popes koreki,13,12
swa,ukulima,I want to start farming.,13,12
lug,naye,Didn't my grandparents ever tell me to go down with him?,13,11
swa,kisha,The chicken feeds the head and then it is suitable for use with medication.,13,9
lug,ate,I AM STEVEN-KYANKWANKWANZI; the world is known for the life of a soldier who writes that he is Jehovah.,13,6
swa,yai,"S. if a chicken receives an egg that breaks easily, what is its deficiency?",13,9
swa,kuua,What is the medicine used to grind corn kernels?,13,11
swa,ngozi,Nina is a three-year-old freshman cattle breed with a small body and skin that's covered with silky fur.,13,11
swa,hufa,S there is an epidemic of chicken pox goat cattle and food with black and black spots.,13,4
swa,nikipanda,"If I plant corn pila fertilizer, and then I use a mixture of D A P and urea, will it grow?",12,8
nyn,okwe,E# Milton Nibuza Okwe Ebihimba Nibigura Bita and also nibihimbaki? tel 0754745138 naga 0788791368.,12,12
nyn,district.,I'm going to ask the district attorney (kanyobwa) about how we're going to organize our return trip.I'm Joshua Kyegegwa district.,12,12
swa,bungoma,The seed of the seedco Duma has extracted how much acre is Bungoma.,12,11
swa,kichwa,What other kind of seed can be used to plant seeds without using its head or leaves?,12,8
nyn,ebikyori,E  Ebikyori Nibyera What is it?,12,10
swa,kuuza,Chickens and cakes for sale.,12,11
nyn,nkorekyi,"When I was growing up, I used my disability skills to help me.",12,11
nyn,niyenda,I'm not going to kill the hatred.,12,11
nyn,kuba,E And a six-pointed star deserves to be how many feet in height.,12,12
swa,ndawa,What is the medication of the almond plant to be used extensively?,12,9
swa,mti,What techniques can I use to cut down a tree without cutting it down as an adult?,12,8
swa,inafa,Do you want to spend the same amount of money on your mother's womb?,12,8
swa,cabbage,Q: My cabbage is two months old and I'm wearing a top dress with UREA and I'm splaying it with mushrooms. What else am I supposed to do with it?,12,10
nyn,omu,And you will be able to answer your questions about your life in the future.Thank you very much for your life.I want to tell you the truth about your life and the life of Esther OWA RUBANDA DISTRICTURE.,12,12
swa,nduma,S Nduma Huma How many months will it take to come back?,12,11
swa,huo,"My chicken has opened my eyes and what medication should I use to protect them from the disease, he said.",12,8
nyn,webare,E#HUMAN WORKING IN THE WORLD OF GOD AYOHEREZA'S WITNESS WITNESS THE WORLD RIMMER and the name of Jesus and the name of YABA ARAGUZA and ANACLET RUHIJA RUBANDA DISTRICT webare 0756761107,12,11
swa,sugura,There are two main types of sugura.,12,10
swa,ninataka,I'm trying to start the process of dealing with myself and other animals.,12,8
lug,era,E WEMBA NSIMBULGYE MERON AYIINZA OKUMERA ERA was born in Mukisarakino.,12,8
swa,mwenye,How many shillings does a chicken with a toast cost?,12,10
nyn,obutunguru,"It is also important to note that the amount of sugar consumed in the soybean is less than the amount of sugar consumed in the soybean, and that the amount of sugar consumed in the soybean is less than the amount of sugar consumed in the soybean.",12,8
nyn,kwera,I'd like to write a book that can be written both straightforwardly and down-to-earth.,12,12
nyn,ahansi,E# Question Obukoko Obukurya Emondi Below Ebitakuri Nimbwitisa The customer is called,12,11
swa,kisii,Q..where..unauzaje..we will find you..I am the one who saved you.,12,11
nyn,zirwire,And the chickens are going to feed on the grass.,12,11
swa,beans,S tapataje. seeds of French beans.,12,11
nyn,nabuuza,"I asked Richard, ""What kind of help do I get from the farmers to the customers?"" and why?",12,12
swa,zina,S#CEMENT IN THE HEAVEN. where is the path to victory?,12,11
swa,wingi,Where in the country is it found in abundance?,12,10
lug,mbuza,E#NEBAZA WEFARM OLWEDlugIMO EDENE BJERITI ERYOKUTUSKO ENIMA AND ENUNDA ENUNGI MUSUZA WEFARM BALINA OBUTALE? what is the name of the company?,12,7
swa,kukauka,"Q , I have never been to school but I want to dry branches I don't know what kind of skin to use with drugs ,",12,10
swa,vitungu,Which parts of the country are most commonly found in the wild?,12,8
swa,kahawa,My coffee is full of insects and pests.,12,9
swa,kubwa,My name is michael. i've grown tomatoes that are big until they start to mature. what kind of tomatoes can i get?,12,10
swa,kati,The difference between a chicken and a chicken is beneficial.,12,8
nyn,nkahi,Where are the WEFARM offices used?,11,11
swa,busia,I'm with ten people who are busy right now asking if you're going to come and explain the situation to them.,11,10
nyn,nungi,E Omuhingi Persona you are going to the umisiri of the chairs where you meet two women to buy a pair of shoes.,11,10
swa,chumvi,I don't like a lot of vegetable or beef sauce.,11,10
swa,viwavi,Q. What medicines do you use to relieve pain?,11,11
nyn,kureba,Is a goat born without a goat's milk used by a customer to look at a goat's milk?,11,10
nyn,nimbuuza,I asked the chicken for how many years it would grow up not to abide by the Laws of Heaven Buhweju Ngarukamu?,11,11
nyn,mumpe,"NINYEDA KURISA, ENKOOKO AND EPUNU MUMPE OBUHABUZI FUNUKA is written and directed by NB,KAMARA,DANIEL.",11,10
lug,meka,What is the weight of a 100 kg weighted average woman?,11,9
swa,from,"S, Is it for the mother of corn and what kind of water fertilizer is used for the production of good crops?Phillip from Malindi",11,9
swa,ipi?,"Q. My cow rarely drinks water, would you like to know what the problem is?",11,11
nyn,angahi,How many floors does Enkoko enungi thicken?,11,11
swa,vyema,Is it better to grow a beanfield in the rain?,11,11
swa,vihiga,I want the number of nancy mm and m toka vihiga county.,11,10
swa,kwanza,I am a pumpkin grower and I would like to use the potato branch as a potato but the problem is that if I plant the potato branch the first time it will be sweet and then I will repeat the second time I get it if it is .shida what?,11,6
swa,inatoa,I've grown a grandmother and now I've got one and now I've got one.,11,10
nyn,robert,What is the Endambe Yebihimba Negura Ziganhi? by Robert N.,11,11
swa,ndogo,What kind of chicken do I want to make? Nina Shamba Ndogo Nipande Mumea Why do I get so much fruit? Yes.,11,8
swa,wanakula,"What kind of medication can infect the parasites that grow corn plants, even if we try to preserve the medication, but it doesn't work?",11,8
swa,damu,"Q: After the chicken was diagnosed with NCD, the chicken started bleeding and died.",11,9
swa,nita,"Tom asks: ""Will I go to the top, to the countryside after we play, or help each other out?""",11,9
swa,majani,What's a good cornmeal with leafy leaves?,11,9
nyn,samuel,The birth of the Prophet Samuel and the birth of Rukungiri Ruhinda Ndere LC1 and the death of his son Samuel and his family on 0787821888 Kamahanga William,11,11
nyn,bita,Ebihimba Nibigura Bita is also known as Ebihimba Nibigura Bita.,11,11
swa,nyama,"If you want meatballs, you don't need to make them or eat them in order to increase their weight.",11,6
swa,kidogo,What kind of disease of the tomato causes the rot of the tomato if the spider is fertile after the tomato if it is still young?,11,10
nyn,enamba,"I'm going to tell you a story about a young boy who was born in the middle of nowhere, and you're going to send him your number.",11,9
nyn,nkorenta,E. Who is going to give you a new name for the branches as a rental ?,11,9
nyn,nyanya,My grandmother is ill with empibi nokaseshaki and her mother is dying of cancer.,11,10
swa,mahali,Q: Where in the world do you find the panda penguin?,11,10
swa,ndume,I asked my cow how long it had stayed so that she could tell the six brothers what John from the well was.,11,9
nyn,isingiro,We are the singers of MUTUTUTEREYO BRACH AMAZINE MIRRO KIZIITO,11,11
nyn,mbarara,"E the eldest son of Rubosta, Na Ogwa Rubosta Elite, Omuri Mbarara Oguboneire Niguha became Nohinga Aharushozi?",11,10
nyn,eyine,It's the same kind of thing that happens when you're pregnant.,11,8
nyn,byangye,"When my eyes grew yellow, they began to wrap themselves in darkness, and the sky began to shine.",11,11
swa,njugu,This is the best way to plant nuts.,11,10
swa,aje?,"I've noticed the cause of the yellowish-white rash, a disease known as manic ulcerative colitis.",11,8
swa,gapi,Si have rabbit's urine nitausa where? in a liter of shilligi gapi? I am in keriçho.,11,10
swa,improved,The best way to do this is to make sure that you're able to stay healthy and healthy.,11,6
swa,kutibu,"When a branch burns or dries or burns, what causes it and how can you treat it with what medication?",11,11
swa,dania,s dawagani i can prevent my plants from being infected with viruses if they are small because plants like bire kawa maidi tubako marangwe dania,11,7
swa,wenzangu,A friend of mine helped me buy a fertilizer for my mchicha vegetables.,11,2
swa,kiangazi,"Grace and I ask, ""What medication should I use to help vegetables and health and be protected by insects, even if it doesn't go fast because of the sun?""",11,7
swa,mmoja,"My money is a month's wages and I have 110 dollars, but I'm tired of crying and sleeping, and I'm tired of taking medication and drinking it for a reason.",11,10
swa,ninalima,"S:Mimi, the farmer and the farmer on the farming side of ninlima , maize , maize, beans, hops, vinegar, vitamins, tobacco, hops, and vegetables sukuma managu, on the far side, of cattle farming and other activities.",11,2
nyn,kilo,E How many yellow-bellied blackheads do you have?,10,10
swa,mtama,S.MIMI MAZAO NIYOKUZA and MATA and KIDOGO where we have planted stones like mountain trees.,10,7
nyn,bwire,E Muhogo Erikwera Juba Eyomurembe Neyerera Bwire Ki ???.,10,9
swa,mwili,Can one ask the question of his body?,10,10
nyn,egi,How many times does an epileptic seizure take place?,10,10
nyn,kwenda,I'm going to give birth to a baby boy who's going to be playing hockey and a baby who's going to be able to move and move quickly and quickly.,10,9
nyn,emyaka,E. Who am I to look at the good that has brought us 3 years of hard work?,10,10
nyn,omubwire,"If you don't want to hit the bottom of the forest, I'm going to hide it and tell you about the light I can see.",10,9
nyn,ebicoli,"It is the new Michele's bike, the Nikkaihahi and the Zingahi Shillings, which weighs 100 kg.",10,9
nyn,kukozesa,"In order for the Son of Man to save the lives of animals, what kind of tool should I use?",10,9
swa,kuuwa,"Q,What medication will I use to kill the chicken robot?I don't have chicken eggs or chicken eggs until after I have washed the chicken dust.",10,8
swa,rangi,I'm going to go to India and look at it in yellow and fertilizer and I'm going to make this a good harvest.,10,9
nyn,kand,"In the faith of Ernest Ryo, my son-in-law, I met Emondi in the village and raised Nentama.",10,7
nyn,ahiguru,E Okombekyera empunu ahiguru kanibagira by tizikubonera as the name of the floor.,10,7
swa,anakula,"Q. There is a swarm eating my corn plants, so I don't know how many and how many as a group of which I don't know what.",10,8
swa,maragwe,"If so, what is the meaning of love?",10,9
swa,mdogo,"It's a little chicken that started roasting at a very young age, forever.",10,7
swa,county.,Q:Where are the days of your stay?THEO KUTOKA TRANS-NZOIA COUNTY.,10,10
swa,jee,And I'm going to have to decide whether to live or die.,10,5
swa,mbonga,What medication can I use to treat my knee pain?,10,4
swa,mia,Q:Why do I have 500 cookies and 300 eggs so I don't know how to share the market?,10,8
swa,huku,Agriculture is being ravaged by pests.,10,9
swa,sina,S Robert Ukipaoda Around the World in a Small Shed It Can Be,10,7
swa,nni,"S; Help, Mminko and My Chicken Akitaga Maya Na Ninapo Miki Kama Mayai Ten Hapasui All His Medicine and No",10,7
swa,heka,How many grams of mango seed can a half-acre be planted?,10,7
swa,ata,Q ata mimi chinda ni hio yea cow now ata yeangu inakaa mda as long as three months ivoo,10,6
swa,managu,What if I hadn't gotten all six of them?,10,8
swa,"mimi,","S:Mimi, the farmer and the farmer on the farming side of ninlima , maize , maize, beans, hops, vinegar, vitamins, tobacco, hops, and vegetables sukuma managu, on the far side, of cattle farming and other activities.",10,1
swa,mgaji,"S:Mimi, the farmer and the farmer on the farming side of ninlima , maize , maize, beans, hops, vinegar, vitamins, tobacco, hops, and vegetables sukuma managu, on the far side, of cattle farming and other activities.",10,1
swa,",mahindi","S:Mimi, the farmer and the farmer on the farming side of ninlima , maize , maize, beans, hops, vinegar, vitamins, tobacco, hops, and vegetables sukuma managu, on the far side, of cattle farming and other activities.",10,1
swa,"managu,","S:Mimi, the farmer and the farmer on the farming side of ninlima , maize , maize, beans, hops, vinegar, vitamins, tobacco, hops, and vegetables sukuma managu, on the far side, of cattle farming and other activities.",10,1
swa,kude,"S:Mimi, the farmer and the farmer on the farming side of ninlima , maize , maize, beans, hops, vinegar, vitamins, tobacco, hops, and vegetables sukuma managu, on the far side, of cattle farming and other activities.",10,1
swa,ku2,"S:Mimi, the farmer and the farmer on the farming side of ninlima , maize , maize, beans, hops, vinegar, vitamins, tobacco, hops, and vegetables sukuma managu, on the far side, of cattle farming and other activities.",10,1
nyn,bwangye,"Q.I'm starting a project to increase the volume.My volume will increase the volume of the ears, and now I'm using the customer?",10,10
swa,mchanga,"Q:Having an understanding of the world in which fear and fear live, helping others, and helping others.",10,9
swa,kufunga,I want to make a Kieyenji Chicken.,10,7
nyn,ebisyaka,I asked him how many shillings there were.,10,10
nyn,melon,Is the water melon ready for Christmas?,10,8
nyn,nkore,"It's a very powerful weapon, but it's not a weapon.",10,10
swa,unaeza,Do you know how to use Folia Miwa?,10,10
swa,bengu,Do I need a napkin bag where I can find it?,10,9
nyn,obume,And what is the cost of the unemployment rate?,10,9
swa,naomba,Please ask for information about the water ticket (including its agriculture),10,10
nyn,kutera,"E EENOKO YAZ  KUTERA AMAHURI ,2, and has a weight of 5 kg ZINGAHI OMUZOBA.",10,9
swa,buster,Buster the Good Indian or What?,10,10
nyn,biguli,It's the area where the big wind blows and I can't find the price of soybeans.,10,9
swa,panya,s: you can either use a drug that will kill you or you can kill you or you can kill you.,10,5
swa,hupatikana,Where in the country is it found in abundance?,10,10
swa,nitafanyaje,"My grandfather had money, but he died and I was going to die.",10,7
swa,vile,It helps me as much as I can to get rid of the external germs of the cattle.,10,6
swa,hupandwa,My question is what kind of tomatoes are grown this season here in bomet county.,10,8
swa,hufanya,The farmer asks: What is the cause of the death of the rabbits? What is the cause of the death of the rabbits?,10,5
swa,nyasi,S cow wagu anahara is akulapo weed six iih wapy,10,6
swa,nisaidieni,S Nisaidieni Muchwa Ina hangusha Maindi in Samba NIFANYE NiJIOKOWE is played by Nisaidieni Muchwa.,10,7
swa,eneo,Q. Why didn't you send me a message about where I came from?,10,8
swa,mrefu,"S Ronald, if a cow crawls so long after hatching it's the one that makes the other moray, why?",10,9
swa,miembe,How long does it take for the eggs to hatch?,10,3
swa,samaki,That's what a fish told you and I was looking for a make-up.,10,9
swa,mnyama,S there is an epidemic of chicken pox goat cattle and food with black and black spots.,10,4
swa,parachichi,That's why my colleagues don't put pojo and ginger on the potatoes of potato trees like parachichi mangoes.,10,3
swa,"maharage,","S:Mimi, the farmer and the farmer on the farming side of ninlima , maize , maize, beans, hops, vinegar, vitamins, tobacco, hops, and vegetables sukuma managu, on the far side, of cattle farming and other activities.",10,1
swa,"mihogo,viazi,vitamu,tumbaku,migomba,na","S:Mimi, the farmer and the farmer on the farming side of ninlima , maize , maize, beans, hops, vinegar, vitamins, tobacco, hops, and vegetables sukuma managu, on the far side, of cattle farming and other activities.",10,1
swa,"upande,","S:Mimi, the farmer and the farmer on the farming side of ninlima , maize , maize, beans, hops, vinegar, vitamins, tobacco, hops, and vegetables sukuma managu, on the far side, of cattle farming and other activities.",10,1
swa,nyiki,"S:Mimi, the farmer and the farmer on the farming side of ninlima , maize , maize, beans, hops, vinegar, vitamins, tobacco, hops, and vegetables sukuma managu, on the far side, of cattle farming and other activities.",10,1
swa,karibu,"Q:Niko Na Punda,anakohoa and Drwa Gany Naexa Mpea and Ako near Kuzaa",9,7
swa,nipande,What kind of chicken do I want to make? Nina Shamba Ndogo Nipande Mumea Why do I get so much fruit? Yes.,9,5
nyn,kurunga,"When my eyes grew yellow, they began to wrap themselves in darkness, and the sky began to shine.",9,9
nyn,omwaani,How can I have a good relationship with a poor person?,9,8
nyn,ebironda,Should I use the client if I have to wear a bracelet?,9,9
swa,mbe,"Ng, my baby is five months pregnant and when am I going to stop?",9,9
swa,wote,What is the name of the whole-body medicine?,9,7
swa,french,S tapataje. seeds of French beans.,9,9
swa,hutoa,French beans depend on the location or location of their crops.,9,8
nyn,jackson,E.JACKSON NIMBUZA SEASON YOBUTWIGO EBIHIMBA MBISHOHORE EBIRO BINGAHI was born in what?,9,9
swa,ekari,Do you want to spend the same amount of money on your mother's womb?,9,7
swa,kisumu,I'm looking for a quick way to get a cow Niko kisumu Jibu,9,9
swa,shinda,Where is my cow getting used to it?,9,9
nyn,mwebare.,"I'd like to start making chickens but I don't know what it takes to make those chickens, so you can help me.",9,8
nyn,sheema,PATRICK SHEEMA NINED THE QUEEN WAS born with a daughter and a son?,9,8
swa,watermelon,S. Watermelon How long does it take to taste?,9,9
lug,ndi,I am the daughter of Solomon and a Buddhist who lives in a house in St. Mecca.,9,7
swa,juu,Please ask for information about the water ticket (including its agriculture),9,8
nyn,ahari,"E Ahari, Wefarmnabaninyendakuritsa Entezebijunimpamagyeziki? Ahimbisibwe, Alfred/sembabule.",9,9
swa,nandi,"If you want money, you need to make this phone only 0721316517 Yani 90 Bob Tu Ni Wa Week 2 Pia Niwa Kienyeji.",9,7
nyn,mubazikyi,My goats and goats are thrown out of the house by Kozese Mubazikyi.,9,9
swa,nyamira,"S. My grandmother didn't have any flowers and fell, what kind of medicine did I use?",9,8
swa,kuangamiza,A chemical herbicide that is used to kill weeds in a field of spinach or vegetable pulp.,9,7
swa,dudu,Q What medication should I use for the branches of malenge and white fluid?,9,6
nyn,nasigara,"E#NINYE YONASANI KURUGA KAMBUZA NIMBUZA IN MY FRUTTER NIKYIRETWAKI NASIGARA and T,Y from KITAGWENDA.",9,9
swa,watoto,The farmer asks: What is the cause of the death of the rabbits? What is the cause of the death of the rabbits?,9,7
swa,kike,"S., won't you make my little dog come home?",9,8
swa,ninauliza,"Q: I'm JARED AND NINAULIZE, what is the meaning of life?",9,6
swa,mdudu,"Q there is a crop of corn per shamba, what can I do?",9,7
swa,matumboni,S there is an epidemic of chicken pox goat cattle and food with black and black spots.,9,3
swa,huletwa,S there is an epidemic of chicken pox goat cattle and food with black and black spots.,9,3
nyn,mix,It's a mixed mix and it's a mixed mix.,9,9
nyn,yellow,E How many yellow-bellied blackheads do you have?,9,9
nyn,nti,"Ask yourself, ""Can you make a living?"" or ""Can you make a living at your neighbor's farm?""",9,7
nyn,kubyara,E Kerebu Kuruga Kamwenge Nimbuza and then Ferru Water Meron and Omwitaka Neyerera for several months.,9,9
swa,ninaweza,I CAN get it from wherever I want it.,9,9
nyn,mubaziki?,"E.N.DI,ENOCK NIMBASHABA is trying to steal my cars from me.",9,9
nyn,ryari,I've been waiting for you to come up with something new.,9,9
swa,lako,S MOSES ANSWER:What are your chicken and blacksport oral medicines?,9,7
nyn,ekikoko,"Wefarm,Nimbuza  Ebicoori is grown from a tree to a tree to a tree to a tree to a tree.",9,9
nyn,hariho,E Nine Israel was pardoned by Omuri Mitooma District Hariho Owabire Nabuza Ngwayine Ente Tekuzara Agiguze Agure Erikuzara,9,9
swa,tomato,Q. Which tomatoes are best to plant?,9,8
nyn,kutandika,I'm Mr. Emmanuel and I want to start raising chickens with meat.,9,7
nyn,nimubazi,"Nimbasi is the one who has to serve until he is dead, and I am the one who has to serve until I am dead.",9,9
swa,nianze,Q: How can I start fishing?,9,6
nyn,watermelon,E Watermelon Zabanizana for two weeks and three hundred days?,9,8
nyn,neba,E Ente yaba nereta eshagama omuhako neba erweire irwaraki was born in irwaraki.,9,8
nyn,niki,"In the meantime, our little ones were preparing to grow up, and many of our children were left in the shadows and in the shadows.",9,7
nyn,ekifuruto,E help me to get rid of this problem.,9,6
swa,anaweza,"Q. If a goat opens its back, can it come back intact as long as I'm wearing a bandage?",9,9
swa,haina,S my cow has 2yrs since izae has no signs of slowing down.,9,8
nyn,kuzara,The young goat was brought back to her owner to return home.,9,6
swa,wanakufa,What do you think of my two-month-old and six-month-old?,9,7
swa,inafanya,Q. Who needs a visa to attend school?,9,8
nyn,erwire,E Ente yaba erwire ekifuruto anditera mubaziki is also known as mubaziki.,9,8
swa,ile,"Q is between the eye and the eye of the beard, which grows rapidly.",9,8
swa,nyingine,What other kind of seed can be used to plant seeds without using its head or leaves?,9,5
swa,unafaa,Q: What kind of cold medicine is suitable for use as a first-aid kit for maua?,9,8
swa,sms,I want the chicken to cook in kienyeji.,9,6
swa,uko,"I don't know how many cupcakes I want, but I want five hundred cupcakes.",9,6
swa,kenya,"Clement asks: ""What kind of corn does the Kenya Seed Co. produce every season?"" Natoka County Western Jibu S121 is followed by your answer.",9,8
swa,naulisa,Me and SAMUEL NAULISA SAMBA POINT THREE I won my money in the second half of the season.,9,8
swa,hakuna,There is still no answer.,9,8
swa,nyongo,S there is an epidemic of chicken pox goat cattle and food with black and black spots.,9,3
swa,ukwama,S there is an epidemic of chicken pox goat cattle and food with black and black spots.,9,3
swa,200,I want a four-month-old chicken and I said the 200 number is 0721313182 in Kipkelion kericho county.,9,5
nyn,niga,"Yes, Agnes was.noyeda where to find the winner and who to find reeru kugabire.",8,8
swa,hiyo,"How long after the mixture is mixed, is the maize suitable?",8,6
nyn,entaama,What kind of assistance do other farmers use to help their customers?,8,6
swa,kiazi,S is one and a half acres worth a nipandie D A P what is it?,8,5
nyn,niye,What is the Endambe Yebihimba Negura Ziganhi? by Robert N.,8,8
swa,gredi,S Money and grades,8,6
swa,passion,Fruit is a passion fruit that you use to make you feel better.,8,8
nyn,kya,"E Nibuza Anbuzi Eratanaka Nimbasa,kugyihakyi, Kagyiha Omubazigwenjoka Nagyitera is also a member of the Vitamin C family.",8,7
nyn,yawe,David and his father were blessed by the high priest Akisha Amaechi Obwire with a gallon of water.,8,6
swa,inaitwa,"I've noticed the cause of the yellowish-white rash, a disease known as manic ulcerative colitis.",8,8
nyn,haza,"It's not the end of the world, Ezoki.",8,8
nyn,itaka,"E If a person is going to start a nightclub and needs more land, how much is the starting price and how much is the cost of doing it? thank you very much.",8,8
nyn,nikiretwa,E Enkoko throws a small bottle of water and drives a car in the middle of nowhere.,8,8
